S No,College Name,Address,State,Contact No(s),E-Mail ID,Weblink
11,"Tamilnadu Government Dental College and Hospital - [TNGDCH], Chennai","Opposite Park Station, Muthusamy Salai , Chennai - 600003 , Tamil Nadu ,India",Tamil Nadu,"044-25340681,044-25340441,25340343,9840068168,7299068168",tngdch11@gmail.com,http://www.tamilnadudentalcollege.com
12,"Ethiraj College for Women, Chennai","70, Ethiraj Salai, Egmore, Thousand Lights , Chennai - 600008 , Tamil Nadu ,India",Tamil Nadu,"044-28279189,28287210",ethirajprincy@yahoo.com,http://www.ethirajcollege.in
13,"Loyola Institute of Business Administration - [LIBA], Chennai","1, Sterling Road, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28177100,LIBA,Admissions,Office,-,9444028418",admissions@liba.edu,http://www.liba.edu
14,"Mohamed Sathak A.J. College of Pharmacy, Chennai","Sholinganallur , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,"044-24502572,24502573,Principal,-,9790179502",dssindia@vsnl.com,http://www.msajpharm-edu.in/
15,"Stanley Medical College, Chennai","305 OSH Rd, Royapuram , Chennai - 600001 , Tamil Nadu ,India",Tamil Nadu,044-25281533,stanleyhospital@rediffmail.com,http://www.stanleymedicalcollege.com/
16,"Tamil Nadu Dr Ambedkar Law University - [TNDALU], Chennai","Poompozhil, 5 , Dr. D.G.S. Dinakaran Salai , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-,24641212,24641919",vc@tndalu.org,http://www.tndalu.ac.in/
17,"Ramakrishna Mission Vivekananda College, Chennai","70-72 P.S. Sivaswami Salai, Mylapore , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,044-24993057,vivekanadacollege@rkmvc.ac.in,http://www.rkmvc.ac.in
18,"SRM University Kattankulathur, Chennai","S.R.M. Nagar, Kattankulathur , Chennai - 603203 , Tamil Nadu ,India",Tamil Nadu,"044-27417400,27417499",admissions.india@srmuniv.ac.in,http://www.srmuniv.ac.in
19,"Guru Nanak College, Chennai","Velachery Road , Chennai - 600042 , Tamil Nadu ,India",Tamil Nadu,"044-22451746,22444621",principal@gurunanakcollege.edu.in,http://gurunanakcollege.edu.in/
20,"Sree Balaji Medical College and Hospital - [SBMCH], Chennai","7, Works Road, Chromepet, , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22415603,22415604",sbmc_h@yahoo.com,http://www.sbmch.ac.in/
21,"Academy of Maritime Education and Training University - [AMET], Chennai","No. 135, East Coast Road, Kanathur , Chennai - 603112 , Tamil Nadu ,India",Tamil Nadu,"1800-108-3030,044-32577030,32577002,Admission,Enquiry,-,9381055898,9344391418",office@ametuniv.ac.in,http://www.ametuniv.ac.in
22,"Indian Maritime University - [IMU], Chennai","East Coast Road, Uthandi , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,"044-24539020,24539012","ull,""telephone",http://www.imu.edu.in
23,"The Tamil Nadu Dr. M.G.R. Medical University, Chennai","No. 69, Anna Salai , Chennai - 600032 , Tamil Nadu ,India",Tamil Nadu,"044-22353574,22353576,22301760,22353579",mail@tnmgrmu.ac.in,http://web.tnmgrmu.ac.in/
24,"DG Vaishnav College - [DDGDVC], Chennai","#833, E.V.R. Periyar Highroad, Arumbakkam , Chennai - 600106 , Tamil Nadu ,India",Tamil Nadu,"044-23635101,23635102,23635105,23635106",dgvoffice@gmail.com,http://www.dgvaishnavcollege.edu.in/
25,"IIKM Business School, Chennai","110, Sterling Road, Nungambakkam,, , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28252466,28253455,8144195195,9500009914,9500009915,9500009916",contact@iikm.in,http://www.iikm.in
26,"The New College, Chennai","New No. 147, Old No. 87, Peter’s Road, Royapettah , Chennai - 600014 , Tamil Nadu ,India",Tamil Nadu,"044-28351269,Office,-,28350386,Principal,-,28350297",thenewcollege600014@gmail.com,http://www.thenewcollege.in/
27,"SRM Institute of Hotel Management, Chennai","SRM Nagar, Potheri , Chennai - 603203 , Tamil Nadu ,India",Tamil Nadu,"044-47432187,47432185,47432186",srmihmnationalcouncil@yahoo.com,http://www.srmihm.info/
28,"Easwari Engineering College - [EEC], Chennai","Bharathi Salai , Chennai - 600089 , Tamil Nadu ,India",Tamil Nadu,"044-22490853,22495420,4392,3041,Admissions,-,8939628204",eecw@vsnl.com,http://srmeaswari.ac.in/
29,"Meenakshi Sundararajan Engineering College - [MSEC], Chennai","363, Arcot Road, Kodambakkam Chennai, Tamil Nadu , Chennai - 600024 , Tamil Nadu ,India",Tamil Nadu,044-24801636,info@msec.edu.in,http://msec.edu.in/
30,"Panimalar Engineering College, Chennai","Bangalore Trunk Road, Varadharajapuram, Nasareth, Pettai (Post) , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26490404,26490505,26490717,9994156513",info@panimalar.ac.in,http://www.panimalar.ac.in
31,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai","60,Avadi – Vel Tech Road, Avadi , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,"044-26840181,26840869,Toll,Free,-,180030706949,Principal,-,9789037651,7358701998","admission@vel-tech.org,",http://velhightech.com/
32,"Government College of Engineering - [GCE], Chennai","Tirunelveli, Tamil Nadu , Chennai - 627007 , Tamil Nadu ,India",Tamil Nadu,"0462-2552450,2552448",principal@gcetly.ac.in,http://www.gcetly.ac.in
33,"Alagappa College of Technology, Anna University - [ACT], Chennai","Sardar Patel Road, Chennai , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-22300972,22516021","ull,""telephone",https://www.annauniv.edu/act/
34,"Madras Institute of Technology- [MIT], Chennai","MIT Road, Radha Nagar, Chromepet , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,044-22516002,pks@mitindia.edu,http://www.mitindia.edu/
35,"College of Engineering, Anna University - [CEG], Chennai","Sardar Patel Rd, Guindy, Chennai , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-2352312,22358491,9884113113",deanceg@annauniv.edu,http://ceg.annauniv.edu/
36,"CL Baid Metha College of Pharmacy, Chennai","C.L. Baid Metha College of Pharmacy, Jyothi Nagar, Rajiv Gandhi Salai , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"0442-4960151,24960425,24962592",principal@clbaidmethacollege.com,http://clbaidmethacollege.com
37,"Mohamed Sathak College of Arts and Science, Chennai","Sholinganallur , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,"044-24501578,24502577,24502576",info@sathaktrust.com,http://www.mscartsandscience-edu.in
38,"Quaide-E-Millath Government College for Women (Autonomous), Chennai","74, Binny Road, Anna Salai , Chennai - 600002 , Tamil Nadu ,India",Tamil Nadu,"044-28520793,Principal,Office,No.,-,28550198,Placement,Officer,-,28543106",principal@qmgcw.in,http://www.qmgcw.in/Index.htm
39,"Hindustan Institute of Technology and Science - [HITS], Chennai","P.O.Box No.1, Rajiv Gandhi Salai (OMR), Padur, Kelambakkam , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"18004254438,044-22342155,22340968",info@hindustanuniv.ac.in,http://hindustanuniv.ac.in/
40,"Loganatha Narayanasamy Government College, Chennai","44,TH Road, Ponneri , Chennai - 601204 , Tamil Nadu ,India",Tamil Nadu,"044-,27972266",webadmin@lngovernmentcollege.com,http://www.lngovernmentcollege.com/
41,"Dr. M.G.R. Educational and Research Institute, Chennai","Periyar E.V.R. High Road, (NH 4 Highway), Maduravoyal , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,044-23782176,contact@drmgrdu.ac.in,http://www.drmgrdu.ac.in/
42,"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai","Madhavaram Milk Colony , Chennai - 600051 , Tamil Nadu ,India",Tamil Nadu,"044-25551586,25551587,25554555,25554556",tanuvas@vsnl.com,http://www.tanuvas.ac.in/
43,"School of Excellence in Law [SOEL] - The Tamilnadu Dr. Ambedkar Law University, Chennai","5, Dr. D.G.S. Dinakaran Salai , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,044-24641212,"ull,""telephone",http://tndalu.ac.in/soel.php
44,"University of Madras, Chennai","Navalar Nagar, Chepauk, Triplicane , Chennai - 600005 , Tamil Nadu ,India",Tamil Nadu,"044-25399422,25399746,Examination,Regular,Enquiry,-,25399456,25399457,25613727,25613773",registrar@unom.ac.in,http://www.unom.ac.in
45,"SSN College of Engineering - [SSNCE], Chennai","Old Mahabalipuram Road, Kalavakkam , Chennai - 603110 , Tamil Nadu ,India",Tamil Nadu,"044-27469700,27469772",info@ssn.edu.in,http://www.ssn.edu.in/?page_id=124
46,"Sri Sairam Institute of Technology - [SSIT], Chennai","Sai Leo Nagar, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044,22512111,22512333,22512444",sairam@sairamit.edu.in,http://sairamit.edu.in/
47,"M.O.P. Vaishnav College for Women, Chennai","20, IV Lane, Nungambakkam High Road , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28330262,Office,-,28330507",mopvcfw@eth.net,http://mopvc.edu.in/
48,"Justice Basheer Ahmed Sayeed  College For Women - [JBAS], Chennai","No.56, K.B. Dasan Road, Anna Salai, Teynampet , Chennai - 600018 , Tamil Nadu ,India",Tamil Nadu,044-24364152,jbascompsc@dataone.in,http://www.jbascollege.info
49,"Shrimathi Devkunvar Nanalal Bhatt Vaishnav College for Women (Evening), Chennai","Shanthi Nagar , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22655450,22654976",info.sdnbvc@gmail.com,http://www.sdnbvc.com/sdnbvc/website2011/sdnbv.htm
50,"Madras Institute of Fashion Technology - [MFT], Chennai","16A, Shastri Nagar, (Next to Hotel Ambika Empire), Off 100 Feet Road, Vadapalani , Chennai - 600026 , Tamil Nadu ,India",Tamil Nadu,"044-23623676,23623678,9841270011,9841093493",admissions@mftindia.com,http://www.mftindia.com/mft/
51,"Asian College of Journalism - [ACJ], Chennai","Second Main Road (Behind M.S. Swaminathan Research Foundation) , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044-22542840,22542842,22542847",asian_media@asianmedia.org.in,http://www.asianmedia.org
52,"SRM Dental College, Chennai","Bharathi Salai, Ramapuram , Chennai - 600089 , Tamil Nadu ,India",Tamil Nadu,"044-22490526,22490009,8939631255",drraviortho75@gmail.com,http://srmdentalcollege.ac.in/
53,"Jaya College of Paramedical Sciences, College of Pharmacy, Chennai","CTH Road , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-29038239,26390982,9840326898",jayapharmacy2005@gmail.com,http://www.jcp.co.in/
54,"VELS University, Chennai","Velan Nagar, P.V. Vaithiyalingam Road, Pallavaram , Chennai - 600117 , Tamil Nadu ,India",Tamil Nadu,"044-22662500,22662501,22662502,22662503,33624444",vistas@velsuniv.org,http://www.velsuniv.ac.in
55,"MEASI Academy of Architecture, Chennai","87, Peter's Road, Royapettah , Chennai - 600014 , Tamil Nadu ,India",Tamil Nadu,"044-28350345,28350445",archeasi@gmail.com,http://www.measiarch.in
56,"Queen Mary's College, Chennai","Kamaraja Salai, Mylapore, Opp. IG Office , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-28444995,Hostel,No.,-,28441729,Admission,Cell,-,28445910",chennaiqmc@rediff.com,http://www.queenmaryscollege.edu.in/
57,"Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai","173 Agharam Road Selaiyur , Chennai - 600073 , Tamil Nadu ,India",Tamil Nadu,"044-22290247,42115251,9841064199",admission@bharathuniv.ac.in,http://www.bharathuniv.ac.in/
58,"Central Institute of Plastics Engineering and Technology - [CIPET], Chennai","T.V.K. Industrial Estate, Guindy , Chennai - 600032 , Tamil Nadu ,India",Tamil Nadu,"044-22254780,22253040,22254710,22254701,22254706,9677123894",chennai@cipet.gov.in,http://www.cipet.gov.in
59,"Jeppiaar Engineering College, Chennai","Old Mamallapuram Road, Rajiv Gandhi Salai, Semmenchery Village , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,044-24502818,principal@jeppiaarcollege.org,http://www.jeppiaarcollege.org
60,"Jerusalem College of Engineering - [JCE], Chennai","Velachery Main Road, Narayanapuram, Pallikaranai , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"044-22461404,22460131,Admission,Cell,-,28173144",jerusalemengg@gmail.com,http://www.jerusalemengg.ac.in
61,"Misrimal Navajee Munoth Jain Engineering College, Chennai","Marudhar Kesari Building, Jyothi Nagar , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044-24962270,24962272",mnmjec@md4.vsnl.net.in,http://www.mnmjec.ac.in/
62,"Rajalakshmi Institute of Technology - [RIT], Chennai","Kuthambakkam Post , Chennai - 600124 , Tamil Nadu ,India",Tamil Nadu,"044-37181600,37181601,26442472,37181603",mail@ritchennai.edu.in,http://www.ritchennai.org
63,"JEPPIAAR SRR Engineering college, Chennai","Ram Nagar, IT High way, Padur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27474839,27474840,27416131,27416132,27416133",admin@jeppiaarsrr.in,http://www.jeppiaarsrr.in/
64,"Saveetha Engineering College - [SEC], Chennai","Saveetha Nagar, , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-66726677,26811119,66726680",principal@saveetha.ac.in,http://www.saveetha.ac.in
65,"St Xaviers Catholic College of Engineering - [SXCCE], Chennai","Chunkankadai, Nagercoil, Kanyakumari, Tamil Nadu , Chennai - 629003 , Tamil Nadu ,India",Tamil Nadu,"04652-259662,232560",info@sxcce.edu.in,http://www.sxcce.edu.in
66,"Velammal Engineering College - [VEC], Chennai","Velammal Nagar, Ambattur-Red Hills Road , Chennai - 600066 , Tamil Nadu ,India",Tamil Nadu,"044-39666005,39666006,39666007,39666008,39666009,26591841",velammal@velammal.edu.in,http://www.velammal.edu.in/
67,"Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai","Kanchepuram, Melakottaiyur Village, Off Vandalur-Kelambakkam Road, Nellikuppam Road , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-27476300,27476301",office@iiitdm.ac.in,http://www.iiitdm.ac.in/
68,"KCG College Of technology, Chennai","KCG Nagar, Rajiv Gandhi Salai, Karapakkam , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044-24503140,22342508",principal@kcgcollege.com,http://www.kcgcollege.ac.in
69,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai","42, Avadi - Vel Tech Road, Vel Nagar , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,"7358701999,9600094306,7358179928",admission@vel-tech.org,http://velmultimedia.com/
70,"Panimalar Institute of Technology-[PIT], Chennai","No.391, Bangalore Trunk Road, Varadharajapuram , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26491113,26491114",info@pit.ac.in,http://www.pit.ac.in
71,"Tamil Nadu Teachers Education University - [TNTEU], Chennai","Gangaiamman Koil Street, Karapakkam , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044-65260012,Registrar,-,24503303,Examination,Controller,-,65260016,65260025",coe@tnteu.in,http://www.tnteu.ac.in/
72,"Women's Christian College - [WCC], Chennai","#51, College Road , Chennai - 600006 , Tamil Nadu ,India",Tamil Nadu,"044-28275926,28231676",info@wcc.edu.in,http://www.wcc.edu.in/
73,"Tamil Nadu Open University - [TNOU], Chennai","No 577, Anna Salai, Saidapet , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,044-24306600,contact@tnou.ac.in,http://www.tnou.ac.in/
74,"Asan Memorial Institute of Hotel Management and Catering Technology, Chennai","Velachery-Tambaram Road , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"0442-2461418,22460032",asanedn@md3.vsnl.net.in,http://www.collegesintamilnadu.com/Hotel-Management/Asan-Memorial-Institute-of-Hotel-Management-and-Catering-Technology/Profile/Chennai/2992
75,"Vinayaga College of Education - [VCE], Chennai","P.V.Vaithiyalingam Road , Malliga Nagar, Pallavaram , Chennai - 600117 , Tamil Nadu ,India",Tamil Nadu,"044-22662505,22662501","ull,""telephone",http://www.vinayagacollege.com/
76,"Central Marine Fisheries Research Institute - [CMFRI], Chennai","CIBA Campus, 75, Santhome High Road , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"0484-28293299,28294252",cmfrichennai@gmail.com,http://www.cmfri.org.in/
77,"DMI College of Education, Chennai","Mevalurkuppam, B-Village, Palanchur, Post Office:- Nazarethpet, Chennai , Chennai - 602103 , Tamil Nadu ,India",Tamil Nadu,"044–67130008,9444395289,9444405815,9444390735",dmibed_2009@yahoo.com,http://www.dmicedn.com/index.html
78,"Annai Veilankanni Pharmacy College, Chennai","81/33, V.G.Pannerdas Salai, Saidapet , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,"044-24851172,24710820,43523712,65137516",info@annaiveilankannis.com,http://annaiveilankannis.com/pharmacy/
79,"Stella Matutina College of Education, Chennai","Kamaraj Salai, Ashok Nagar , Chennai - 600083 , Tamil Nadu ,India",Tamil Nadu,"044-24894262,24894267",smcedn@gmail.com,http://www.smce-chennai.com/
80,"Empee Institute of Hotel Management and Catering Technology, Chennai","D-103, Aruna Complex, Annanagar , Chennai - 600102 , Tamil Nadu ,India",Tamil Nadu,044-26630179,empeeihmct@vsnl.net,https://www.empeeihmct.org/
81,"MGR Institute of Hotel Management and Catering Technology - [MGR IHMCT], Chennai","Lakshmi Nagar, 1st Main Road, Sridevi Garden , Chennai - 600087 , Tamil Nadu ,India",Tamil Nadu,044-24869006,mgrihmct@yahoo.in,http://www.mgrihmct.edu.in/
82,"CSI Bishop Newbigin College of Education, Chennai","109, Dr. Radha kishnan Road, Mylapore , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-28110778,97911087510",bpnewbiginbedcol100@yahoo.in,http://bishopnewbigincollege.org/
83,"ICAT Design and Media College, Chennai","153, Santhome High Road, Mylapore , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-42737755,9500128555",divya@ac.in,http://www.icat.ac.in/
84,"Saveetha Dental College & Hospital, Chennai","No.162, Poonamallee High Road, Velappanchavadi , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26801580,26801585",saveetha@vsnl.com,http://sdc.saveetha.com
85,"Saveetha Institute of Medical And Technical Sciences - [SIMATS], Chennai","No.162, Poonamalle High Road , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26801050,26801580,8939994248",admission@saveetha.com,http://www.saveetha.com/
86,"Chennai Business School - [ CBS ], Chennai","CBS House, No 31Dr. Radhakrishnan Salai,  9th Lane, Mylapore , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-42424242,9884865243",admissions@cbs.org.in,http://www.cbs.org.in/
87,"Sairam Institute of Management Studies - [SIMS], Chennai","Sai Leo Nagar, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22512222,22512229",sairam@sairam.edu.in,http://sims.sairam.edu.in
88,"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai","Muthapudupet, Avadi, IAF , Chennai - 600055 , Tamil Nadu ,India",Tamil Nadu,"044-26842627,26842086",info@aalimec.ac.in,http://aalimec.ac.in/
89,"Anand Institute of Higher Technology - [AIHT], Chennai","Kalasalingam Nagar, IT Corridor, Old Mahablipuram Road, Kazhipattur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27471320,Administration,Office,-,27471330,Admission,Enquiry,No.,-,8012136666",aiht_anand@yahoo.co.in,http://www.aiht.ac.in/
90,"Dhanalakshmi College of Engineering - [DCE], Chennai","Dr. V.P.R. Nagar, Off. Tambaram Sriperumbudur Road, Via Manimangalam, Manimangalam Post (10 km from Tambaram on Kishkhinta Road) , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-71700800,71700801,71700808",dceedn@yahoo.com,http://www.dce-edu.com
91,"GKM College of Engineering and Technology, Chennai","G.K.M. Nagar, Perungalathur (Near Tambaram) , Chennai - 600063 , Tamil Nadu ,India",Tamil Nadu,"044,2279,2411,2279,4023,2279,2401,2279,4073",admission@gkmgroup.in ,http://www.gkmcet.net.in/
92,"Meenakshi College of Engineering, Chennai","No.12, Vembuliamman Koil Street, West K.K.Nagar , Chennai - 600078 , Tamil Nadu ,India",Tamil Nadu,044-23640773,info@mce-edu.in,http://mce.edu.in/
93,"Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC], Chennai","Medavakkam - Mambakkam Road, Ponmar , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,044-27497651,info@princevenkateshwara.com,http://www.princevenkateshwara.com
94,"S.A. Engineering College, Chennai","Poonamallee, Avadi Road, Veeraraghavapuram , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26801999,26801499",saec@saec.ac.in,http://saec.ac.in/
95,"Sri Muthukumaran Institute of Technology - [SMIT], Chennai","Chikkarayapuram (Near Mangadu) , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044-24780002,24780003,29301167",info@smitcollege.org,http://www.smit.edu.in/
96,"Tagore Engineering College - [TEC], Chennai","Rathinamangalam, Vandalur (via) , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-27409725,27409726,27409727,27409728,27409729,27409730",principal.tagore@gmail.com,http://tagoreengg.edu.in/
97,"B.S. Abdur Rahman Crescent Institute of Science & Technology, Chennai","Seethakathi Estate, GST Road, Vandalur , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"044-22751347,22751348,22751350,22751375,22759223,22759236,22759200,9543277888",bsar@bsauniv.ac.in,http://www.bsauniv.ac.in
98,"Sathyabama Institute of Science and Technology, Chennai","Jeppiaar Nagar, Rajiv Gandhi Salai , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,"044,-24503810,24503150,24503151,24503152,24503154",info@sathyabamauniversity.ac.in,http://www.sathyabama.ac.in
99,"St. Peter's University, Chennai"," Tonakela Camp Road, Sankar Nagar, Avadi , Chennai - 600054 , Tamil Nadu ,India",Tamil Nadu,"044-26558080,Admission,-,26558085",admission@stpetersuniversity.org,http://www.stpetersuniversity.org/
100,"Tagore Dental College, Chennai","Rathinamangalam, Melakkottaiyur Post,	 Near Vandalur , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-30102222,28341621,30102244",drchitraa@gmail.com,http://www.tagoredch.com
101,"Institute of Advanced Study in Education, Chennai","Saidapet , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,044-24357248,info@iasetamilnadu.org,http://iasetamilnadu.org/
102,"Meenakshi College for Women, Chennai","363, Arcot Road (NSK Salai), Kodambakkam , Chennai - 600024 , Tamil Nadu ,India",Tamil Nadu,"044-24725466,24732504",office@meenakshicollege.com,http://www.meenakshicollege.com
103,"Thai Moogambigai Dental College and Hospital, Chennai","Golden Geroge Nagar, Mugappair , Chennai - 600107 , Tamil Nadu ,India",Tamil Nadu,044-65479959,"ull,""telephone",http://www.tmdch.ac.in/
104,"Benson College of Hotel Managment  and Culinary Arts, Chennai","#9, Mounaswamy Madam Cross Street, Venkatapuram, Ambatthur , Chennai - 600053 , Tamil Nadu ,India",Tamil Nadu,"044-42061233,9841822711",benson_director@yahoo.com,http://bensonhotelmanagementcollege.com/
105,"Sri Muthukumaran Medical College Hospital and Research Institute - [SMMCHRI], Chennai","Kunrathur Road, Near Mangadu , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044-66344000,66344040,65650839",smmchri@yahoo.com,http://www.smmchri.res.in/index.php
106,"Indian School of Science and Management - [ISSM], Chennai","No.34, Venkateswara Colony, 3rd Cross Street, Nehru Nagar, Taramani. [Near Sun Direct and opposite to Cognizant Technologies] , Chennai - 600041 , Tamil Nadu ,India",Tamil Nadu,"044-64521265,9789931111",admin@issm.in,http://www.issm.in/
107,"SDN Bhatt Vaishnav College for Women, Chennai","Shanti Nagar, Chrompet , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22655450,Office,-,22655027,Office,-,22654232","ull,""telephone",http://www.sdnbvc.com/
108,"Sree Balaji Dental College & Hospital - [SBDCH], Chennai","Velachery Main Road , Pallikaranai , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"044-22461883,22462179,22460623",info@sbdch.ac.in,http://www.sbdch.ac.in
109,"Canan School of Catering and Hotel Management - [CSCHM], Chennai","1/75, Poonamallee High Road, Nerkundram Chennai , Chennai - 600107 , Tamil Nadu ,India",Tamil Nadu,"044-29312123,24798104,9444990651,9444017306",hospitality@cananschool.org,http://www.cananschool.org
110,"Government Kilpauk Medical College - [GKMC], Chennai","822, Poonamallee High Rd, Near Ega Theatre, Kilpauk, Chennai, Tamil Nadu , Chennai - 600010 , Tamil Nadu ,India",Tamil Nadu,"044–26412979,26431927",dean@gkmc.in,http://www.gkmc.in
